138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,Rick dorastał w domu z problemami.,Nie miał dobrego wsparcia ze strony rodziny i zwrócił się w stronę gangów.,Niedługo potem Rick został postrzelony podczas napadu rabunkowego.,"To wydarzenie spowodowało, że zmienił zdanie.",Teraz jest szczęśliwy.,Wstąpiłem do gangu.,jeden
bff9f820-9605-4875-b9af-fe6f14d04256,Laverne musi przygotować coś na przyjęcie swojej przyjaciółki.,Postanawia upiec ciasteczka.,Wybiera przepis i postępuje zgodnie z nim.,"Laverne testuje jedno z ciasteczek, aby sprawdzić, jak dobrze smakuje.","Ciasteczka są tak dobre, że Laverne zjada dwa z nich.",Laverne nigdy nie chodzi na imprezy do swoich przyjaciół.,jeden
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah od kilku lat marzyła o wyjeździe do Europy.,"W końcu udało mi się zaoszczędzić wystarczająco dużo pieniędzy, aby odbyć tę podróż.",Wylądowała w Hiszpanii i podróżowała na wschód przez kontynent.,"Nie chciałam, żeby cokolwiek było inaczej.",Sarah zdecydowała się wtedy na wyjazd do Europy.,Sarah postanowiła wybrać swój kraj zamiast Europy.,dwa
f5226bfe-9f26-4377-b05f-3d9568dbdec1,"Gina obawiała się, że ciasto na ciasteczka w tubce będzie obrzydliwe.","Z przyjemnością odkryła, że się myliła.","Ciastka z tubki były tak samo dobre jak te, które robiłam od podstaw.","Gina zamierzała zjeść tylko dwa ciasteczka, a resztę zatrzymać.","Gina tak bardzo polubiła te ciasteczka, że zjadła je wszystkie za jednym posiedzeniem.",Gina rozdawała ciasteczka w kościele.,jeden
69ac9b05-b956-402f-9fff-1f926ef9176b,To był mój ostatni występ z orkiestrą marszową.,Grałem w zespole na virblach.,"Zagraliśmy ""Thriller"" i ""Radar Love"".",Spektakl był bezbłędny.,Byłem bardzo dumny z mojego występu.,Było mi bardzo wstyd za mój występ.,jeden
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim znalazł na dnie szuflady stary aparat fotograficzny jednorazowego użytku.,Zacząłem niszczyć rzeczy wokół siebie.,Na ladzie pojawiło się ostatnie zdjęcie.,Jim zaczął zdawać sobie sprawę z powagi sytuacji.,"Jim miał spory problem z podjęciem decyzji, co fotografować.",Jim zrobił jeszcze 20 zdjęć.,jeden
58090d3f-8a91-4c89-83ef-2b4994de9d24,Ron rozpoczął dziś swoją nową pracę jako architekt krajobrazu.,Kocha przyrodę i zawsze chętnie w niej pracuje.,"Jego szef mówi mu, żeby ""jeszcze raz oskubał burmistrza z podwórka"".","Ron wykonuje ekscytującą, ale dokładną pracę i wkrótce potem rezygnuje.",Ron zostaje wkrótce zwolniony za niesubordynację.,Mój szef pochwalił mnie za dobrze wykonaną pracę.,dwa
e17053ac-2046-48c8-a7a2-7b9509c10e64,John i Billy zostali mistrzami w ping pongu.,Na studiach brał udział w konkursach.,Wygrali konkurs i przeszli do następnego etapu.,Na kolejnym poziomie zostałem wysłany do Las Vegas.,W Las Vegas John i Billy rywalizowali z 80 innymi zawodnikami.,John i Billy byli rozczarowani.,jeden
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline poszła na studia medyczne.,"Caroline bardzo ciężko pracowała, aby uzyskać dobrą ocenę.",Pewnego dnia Caroline oblała test o jeden punkt.,"Caroline była bardzo rozczarowana, ale nadal ciężko się uczyła.",Ale poddała się.,Następnie zdała egzamin.,dwa
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Trish nie znosiła przebywania na świeżym powietrzu.,Mój przyjaciel przekonał mnie do wyjazdu na kemping.,Nie czuła się dobrze.,Nauczył mnie jak łowić ryby i pokazał mi gwiazdy.,W końcu Trish niechętnie pogodziła się z naturą.,Ryba ta miała bardzo ciekawe zwyczaje godowe.,jeden
a7905e16-15be-433f-bdef-b488a83e4582,Tony był zachwycony swoim pierwszym rejsem.,"Kiedy przybył do portu, miał już przygotowany cały bagaż.","Gdy skręciłem za róg, uderzyła mnie ogromna wielkość tego miejsca.","Gdy wchodził na pokład, statek odjechał z doku.",Tony cieszył się na ten rejs.,Tony bał się morza.,jeden
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,Ignacio chce uprawiać jakiś sport na studiach.,"Ponieważ był dobrym pływakiem, postanowił spróbować swoich sił w drużynie.",Ignacio z łatwością pozbywa się swojej próby odejścia.,Ignacio zajął drugie miejsce w swoim pierwszym wyścigu pływackim.,Ignacio zrezygnował z pływania.,Ignacio zdobył srebrny medal.,dwa
