bff9f820-9605-4875-b9af-fe6f14d04256,Laverne tiene que preparar algo para la fiesta de su amiga.,Decide hornear una tanda de galletas.,Elige una receta y la sigue cuidadosamente.,Laverne prueba una de las galletas para asegurarse de que está deliciosa.,Las galletas son tan deliciosas que Laverne se come dos.,Laverne no irá a la fiesta de su amiga.,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah llevaba varios años soñando con visitar Europa.,Finalmente ahorró suficiente dinero para el viaje.,Desembarcó en España y viajó al este del continente.,No le gustaba lo diferente que era todo.,Sarah decidió entonces trasladarse a Europa.,Sarah decidió elegir su casa en lugar de Europa.,2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,A Gina le preocupaba que la masa de galletas del tubo fuera asquerosa.,Le encantó descubrir que estaba equivocada.,Los bizcochos del tubo estaban tan buenos como los de la casa.,Gina tenía la intención de comer sólo 2 galletas y guardar el resto.,A Gina le gustaron tanto las galletas que se las comió todas de una vez.,Gina estaba repartiendo galletas en su iglesia.,1
69ac9b05-b956-402f-9fff-1f926ef9176b,Fue mi última actuación en la banda de música.,Yo tocaba el virbl en la banda.,Tocamos Thriller y Radar Love.,La actuación fue impecable.,Estaba muy orgulloso de mi actuación.,Estaba muy avergonzado de mi actuación.,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim encontró una vieja cámara desechable en el fondo de un cajón.,Empezó a romper todo lo que le rodeaba.,La última foto apareció en el mostrador.,Jim empezó a darse cuenta de la gravedad de la situación.,Jim pasó mucho tiempo decidiendo a qué hacer una foto.,Jim tomó otras 20 fotos.,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,Ron ha empezado hoy un nuevo trabajo como arquitecto paisajista.,Le encanta la naturaleza y siempre ha disfrutado trabajando en ella.,Su jefe le dice que vuelva a poner en burro el patio delantero de la casa del alcalde.,Ron está entusiasmado pero hace un trabajo minucioso y lo deja muy pronto.,Ron es inmediatamente despedido por insubordinación.,Su jefe le elogia por un trabajo bien hecho.,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,John y Billy se convirtieron en hábiles jugadores de beer pong.,"En la universidad, participaron en un concurso.",Ganaron la competición y pasaron al siguiente nivel.,El siguiente nivel los envió a Las Vegas.,"En Las Vegas, John y Billy compitieron contra ochenta concursantes.",John y Billy estaban decepcionados.,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline fue a la escuela de medicina.,Caroline se esforzó mucho por sacar buenas notas.,Un día Caroline suspendió un examen por un punto.,"Caroline estaba muy frustrada, pero siguió estudiando con ahínco.",Pero se rindió.,Más tarde superó la prueba.,2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Trish odiaba el aire libre.,Sus amigos la convencieron de ir de camping.,No se sentía bien.,Le enseñaron a pescar y le mostraron las estrellas.,"Al final, Trish hizo las paces con la naturaleza a regañadientes.",Los peces tenían hábitos de apareamiento muy interesantes.,1
a7905e16-15be-433f-bdef-b488a83e4582,Tony estaba feliz de ir a su primer crucero.,Llegó al puerto y estaba preparado con todo su equipaje.,"Cuando dobló la esquina, no podía creer su tamaño.",Subió a bordo y el barco abandonó el muelle.,Tony estaba deseando que llegara el crucero.,Tony tenía miedo del océano.,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,Ignacio quiere practicar un deporte en la universidad.,"Como era un buen nadador, decide hacer una prueba para el equipo.",Ignacio hace un derribo fácil en el equipo.,Ignacio gana el segundo lugar en su primera carrera de natación!,Ignacio dejó de nadar.,Ignacio ganó la medalla de plata.,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny compró un barco.,En su puerto cercano se celebraba una carrera.,Decidió entrar.,Danny y su mejor amigo estaban manejando el bote.,Danny decidió irse a la cama.,Se estaban preparando para el inicio de la carrera.,2
0fe46de6-6ee3-4932-a578-268917372566,"En el colegio, a Mary le encargaron que escribiera una redacción sobre los pandas.","Afortunadamente, a Mary le encantaban los pandas y estaba entusiasmada por empezar.","Nada más llegar a casa, Mary arrancó el ordenador y comenzó.",Escribió todo lo que sabía y también investigó un poco.,A María no le gustaban los pandas.,Mary no podía esperar a dar su informe.,2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,Ellen soñaba con ganar un premio por sus rosas.,Planeaba presentar su rosa púrpura especial en la feria.,Abonó el rosal y lo cubrió todas las noches.,Las rosas eran cada día más hermosas.,Ellen acabó ganando el premio.,Ellen tuvo que pagar una cuota para obtener una tarjeta de biblioteca de reemplazo.,1
